"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverse_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"Riboflavin 50 MG","2000010052","mimiciv_drug_ndc","Drug","Prescription Drug",,"Riboflavin 50mg","1970-01-01","2099-12-31",,"19062923","Maps to","Mapped from","1970-01-01","2099-12-31",
"formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera]","2000010053","mimiciv_drug_ndc","Drug","Prescription Drug",,"Dulera (mometasone-formoterol) 200-5mcg/actuation 200 mcg-5 mcg/actuation HFA Aerosol Inhaler","1970-01-01","2099-12-31",,"42902603","Maps to","Mapped from","1970-01-01","2099-12-31",
"efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG [Atripla]","2000010054","mimiciv_drug_ndc","Drug","Prescription Drug",,"ATRIPLA 600-200-300 mg","1970-01-01","2099-12-31",,"19124373","Maps to","Mapped from","1970-01-01","2099-12-31",
"efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG [Atripla]","2000010055","mimiciv_drug_ndc","Drug","Prescription Drug",,"ATRIPLA 600-200-300 mg ","1970-01-01","2099-12-31",,"19124373","Maps to","Mapped from","1970-01-01","2099-12-31",
"rasagiline 1 MG [Azilect]","2000010056","mimiciv_drug_ndc","Drug","Prescription Drug",,"Azilect 1mg","1970-01-01","2099-12-31",,"19089084","Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetaminophen 650 MG [Tylenol]","2000010057","mimiciv_drug_ndc","Drug","Prescription Drug",,"Tylenol Arthritis 650 mg Tab","1970-01-01","2099-12-31",,"19042362","Maps to","Mapped from","1970-01-01","2099-12-31",
"Phenytoin","2000010058","mimiciv_drug_ndc","Drug","Prescription Drug",,"Phenytoin Sodium ","1970-01-01","2099-12-31",,"740910","Maps to","Mapped from","1970-01-01","2099-12-31",
"Lidocaine 10 MG/ML","2000010059","mimiciv_drug_ndc","Drug","Prescription Drug",,"LIDOCAINE 1% (W/Presv.) ","1970-01-01","2099-12-31",,"990243","Maps to","Mapped from","1970-01-01","2099-12-31",
"Melatonin 3 MG","2000010060","mimiciv_drug_ndc","Drug","Prescription Drug",,"Melatonin 3 mg","1970-01-01","2099-12-31",,"19083332","Maps to","Mapped from","1970-01-01","2099-12-31",
"lenalidomide 10 MG [Revlimid]","2000010061","mimiciv_drug_ndc","Drug","Prescription Drug",,"REVLIMID 10 mg Cap","1970-01-01","2099-12-31",,"19025426","Maps to","Mapped from","1970-01-01","2099-12-31",
"Brimonidine tartrate 1 MG/ML","2000010062","mimiciv_drug_ndc","Drug","Prescription Drug",,"brimonidine 0.1 % Eye Drops","1970-01-01","2099-12-31",,"40164129","Maps to","Mapped from","1970-01-01","2099-12-31",
"nebivolol 5 MG [Bystolic]","2000010063","mimiciv_drug_ndc","Drug","Prescription Drug",,"Bystolic 5mg","1970-01-01","2099-12-31",,"19021528","Maps to","Mapped from","1970-01-01","2099-12-31",
"mesalamine","2000010064","mimiciv_drug_ndc","Drug","Prescription Drug",,"Mesalamine Desensitization 200 mg / 200 mL","1970-01-01","2099-12-31",,"968426","Maps to","Mapped from","1970-01-01","2099-12-31",
"Estrogens, Conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]","2000010065","mimiciv_drug_ndc","Drug","Prescription Drug",,"Premarin 0.625 mg/gram Vaginal Cream","1970-01-01","2099-12-31",,"1549218","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ipratropium","2000010066","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ipratropium Bromide Neb ","1970-01-01","2099-12-31",,"1112921","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hydromorphone","2000010067","mimiciv_drug_ndc","Drug","Prescription Drug",,"HYDROmorphone Solution 20mg/ml","1970-01-01","2099-12-31",,"1126658","Maps to","Mapped from","1970-01-01","2099-12-31",
"Fluoxetine 20 MG [Prozac]","2000010068","mimiciv_drug_ndc","Drug","Prescription Drug",,"Prozac 20 mg Cap","1970-01-01","2099-12-31",,"19080281","Maps to","Mapped from","1970-01-01","2099-12-31",
" Levalbuterol 0.417 MG/ML [Xopenex]","2000010069","mimiciv_drug_ndc","Drug","Prescription Drug",,"Xopenex 1.25 MG/3 ML SOL","1970-01-01","2099-12-31",,"19100309","Maps to","Mapped from","1970-01-01","2099-12-31",
"2.5 ML defibrotide sodium 80 MG/ML Injection","2000010070","mimiciv_drug_ndc","Drug","Prescription Drug",,"Defibrotide (IND) 80 mg / mL - 2.5 mL Amp","1970-01-01","2099-12-31",,"35603976","Maps to","Mapped from","1970-01-01","2099-12-31",
"abiraterone acetate 250 MG [Zytiga]","2000010071","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zytiga (Abiraterone)  250 mg","1970-01-01","2099-12-31",,"40239062","Maps to","Mapped from","1970-01-01","2099-12-31",
"lamotrigine 150 MG [Lamictal]","2000010072","mimiciv_drug_ndc","Drug","Prescription Drug",,"LaMICtal (Brand Name) 150 mg","1970-01-01","2099-12-31",,"19118045","Maps to","Mapped from","1970-01-01","2099-12-31",
"insulin detemir Injectable Solution [Levemir]","2000010073","mimiciv_drug_ndc","Drug","Prescription Drug",,"Levemir insulin vial","1970-01-01","2099-12-31",,"40130712","Maps to","Mapped from","1970-01-01","2099-12-31",
"Furosemide","2000010074","mimiciv_drug_ndc","Drug","Prescription Drug",,"FUROSEMIDE ","1970-01-01","2099-12-31",,"956874","Maps to","Mapped from","1970-01-01","2099-12-31",
"Naproxen sodium 220 MG [Aleve]","2000010075","mimiciv_drug_ndc","Drug","Prescription Drug",,"Aleve 220 mg ","1970-01-01","2099-12-31",,"19053149","Maps to","Mapped from","1970-01-01","2099-12-31",
"Levalbuterol 0.417 MG/ML","2000010076","mimiciv_drug_ndc","Drug","Prescription Drug",,"Levalbuterol Neb 1.25 mg/3ml","1970-01-01","2099-12-31",,"1192244","Maps to","Mapped from","1970-01-01","2099-12-31",
"leflunomide 10 MG","2000010077","mimiciv_drug_ndc","Drug","Prescription Drug",,"Leflunomide 10 mg","1970-01-01","2099-12-31",,"1101925","Maps to","Mapped from","1970-01-01","2099-12-31",
"risedronate sodium 5 MG [Actonel]","2000010078","mimiciv_drug_ndc","Drug","Prescription Drug",,"Actonel 5mg","1970-01-01","2099-12-31",,"40174500","Maps to","Mapped from","1970-01-01","2099-12-31",
"Magnesium Chloride / Sodium Bicarbonate / Sodium Chloride Injectable Solution [Normocarb HF 25]","2000010079","mimiciv_drug_ndc","Drug","Prescription Drug",,"NORMOCARB DIALYSIS SOLUTION 3240 ML BAG","1970-01-01","2099-12-31",,"40161286","Maps to","Mapped from","1970-01-01","2099-12-31",
"bromfenac 0.9 MG/ML Ophthalmic Solution [Xibrom]","2000010080","mimiciv_drug_ndc","Drug","Prescription Drug",,"XIBROM 0.09 % Eye Drops","1970-01-01","2099-12-31",,"1139215","Maps to","Mapped from","1970-01-01","2099-12-31",
"Danazol 100 MG","2000010081","mimiciv_drug_ndc","Drug","Prescription Drug",,"danazol 100MG","1970-01-01","2099-12-31",,"1511686","Maps to","Mapped from","1970-01-01","2099-12-31",
"efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG [Atripla]","2000010082","mimiciv_drug_ndc","Drug","Prescription Drug",,"ATRIPLA 600-200-300","1970-01-01","2099-12-31",,"19124373","Maps to","Mapped from","1970-01-01","2099-12-31",
"Riboflavin 50 MG","2000010083","mimiciv_drug_ndc","Drug","Prescription Drug",,"Riboflavin 50 mg","1970-01-01","2099-12-31",,"19062923","Maps to","Mapped from","1970-01-01","2099-12-31",
