gsn,drug_concept_id,drug_source_concept_id
061495,1154280,1154280
061499,739498,739498
062041,35605641,35605641
062065,40240039,40240039
062093,40231876,40231876
062175,36250045,36250045
062180,1332527,1332527
062245,904490,904490
062532,1465891,1465891
062663,40173609,40173609
062792,1337103,1337103
062824,40171397,40171397
062926,40223160,40223160
062999,19130745,19130745
063020,40227004,40227004
063157,40162403,40162403
064139,968464,968464
064493,40241333,40241333
064569,35606569,35606569
064607,35606563,35606563
064680,42873562,42873562
064818,40222885,40222885
064892,40164172,40164172
065062,19135595,19135595
065223,740243,740243
065410,46275121,46275121
065467,40220527,40220527
065501,40165306,40165306
065552,40165711,40165711
065622,40166582,40166582
065659,40221793,40221793
065796,40168206,40168206
065888,40220386,40220386
066024,42708218,42708218
066092,40168407,40168407
066403,19019418,19019418
066664,40227832,40227832
066954,40224161,40224161
067024,40235562,40235562
067156,40238099,40238099
067326,43532827,43532827
068013,40244138,40244138
068421,42707960,42707960
068878,981804,981804
069113,40231066,40231066
069279,46287562,46287562
069339,40172649,40172649
069377,42873452,42873452
069671,35605664,35605664
070181,40229205,40229205
070387,43012063,43012063
070570,43014243,43014243
070670,46275765,46275765
070782,1594025,1594025
070835,43526482,43526482
071133,1396256,1396256
071482,42901694,42901694
071487,40220467,40220467
071489,43560511,43560511
071499,43560402,43560402
071734,40220860,40220860
072042,44816184,44816184
072123,1718080,1718080
072156,44814569,44814569
072678,45774722,45774722
072935,45774969,45774969
072990,40221005,40221005
073194,45892791,45892791
073661,45892071,45892071
073784,45892166,45892166
074511,46275487,46275487
074564,46287487,46287487
075166,901786,901786
075526,35603795,35603795
076864,1718599,1718599
076972,35200561,35200561
077120,1593452,1593452
077181,43525698,43525698
077461,19058522,19058522
077572,46275376,46275376
077590,35200272,35200272
078158,963799,963799
078316,1377170,1377170
078633,35201979,35201979
079188,1201276,1201276
079413,19127939,19127939
079868,1360968,1360968
079981,1361642,1361642
080195,37499705,37499705
080511,747858,747858
080682,1735872,1735872
080717,37498222,37498222
081034,37355061,37355061
081225,1361642,1361642
081404,37003591,37003591
081942,739892,739892
082022,1537419,1537419
082066,963807,963807
082069,963796,963796
082240,780156,780156
082588,40239972,40239972
082958,1759256,1759256
083277,779417,779417
083392,780255,780255
084087,1302260,1302260
084102,1302205,1302205
084694,1201520,1201520
085012,747538,747538
085080,746231,746231
085131,747193,747193
085481,40164891,40164891
085740,42609755,42609755
085741,42609754,42609754
085894,42609524,42609524
086443,1735094,1735094
086752,1464802,1464802
087379,1466332,1466332
088439,40221353,40221353
088780,19079960,19079960
000079,1237167,1237167
000117,1105776,1105776
000201,40037078,40037078
000281,40174821,40174821
000325,1362264,1362264
000463,19056879,19056879
000499,40224338,40224338
000702,19020124,19132903
000781,19065779,19065779
000875,19013926,19013926
000885,46221581,1596914
000901,19090244,19090244
001187,19084915,19084915
001270,1549254,1549254
001277,925102,925102
001300,1595461,19104884
001382,19059472,19059472
001423,1139699,1139699
001585,1130585,19026805
001866,735340,19052491
002097,1352213,19026474
002128,1501309,1501309
002155,1550557,1550557
002179,1115572,19011337
002191,903963,19101172
002205,905233,19072126
002273,906914,906914
002281,19003070,19003070
002286,929435,929435
002336,990499,990499
002364,19020400,19020400
002491,19055215,19055215
002574,19060834,19060834
002595,42903569,42903569
002642,19078187,19078187
002677,1356461,1356461
002753,19009022,19026716
002793,1790692,19132937
002942,1792429,1792429
003056,535714,535714
003130,19073250,19073250
003139,19073271,19073271
003227,19108226,19108226
003247,40226619,40226619
003267,40236088,40236088
003351,1593794,1593794
003456,798834,19132911
003484,19020021,19020021
003489,917010,917010
003532,1366310,19026682
003606,1551860,1551860
003621,730801,730801
003828,19041226,19041226
003852,704988,704988
003961,19037989,19011880
004006,19007737,19007737
004008,1508439,1508439
004167,1346823,1346823
004488,1127078,1127078
004556,19027565,19027565
004816,1394337,1394337
004902,948582,948582
004944,1521987,1521987
005102,19029145,19029145
005105,1195334,46274772
005114,19080514,19011197
005288,19097999,19055814
005296,19040527,19040527
005310,19072023,19055819
005347,19137362,19137362
005491,19006155,19006155
005511,19063191,19071934
005652,1760616,19056039
005690,19056113,19056113
005693,19016974,19016974
005696,19024197,19024197
005996,19129400,19056214
006165,901689,901689
006204,785788,785788
006302,905224,905224
006428,1360332,19056406
006514,19123325,19123325
006519,19091621,19091621
006652,40174972,40174972
006679,40174663,40174663
006729,19056541,19056541
006771,1719046,1719046
006817,1185922,19069192
006967,43532462,43532462
007032,19050545,19056641
007064,955435,955435
007169,19078858,19078858
007187,43014053,43014053
007292,43014281,43014281
007342,19108480,19108480
007354,19092105,19092105
007384,19108454,19108454
007423,42708483,42708483
007560,733523,46274192
007663,1387104,1387104
007683,1317640,1317640
007848,1389885,1389885
008065,42707566,42707566
008154,907144,907144
008337,1178666,1178666
008555,1553610,46274526
008702,37002736,37002736
008999,1713370,1713370
009316,1397059,1397059
009336,1790699,1790699
009361,46287307,46287307
009410,1353404,1353404
009463,19078893,19078893
009472,40182277,40182277
009496,19107975,19107975
009509,1189458,1189458
009902,1510813,1510813
009998,19025194,46274286
010150,42900414,42900414
010206,43012260,43012260
010457,42899594,42899594
010755,42904167,42904167
011292,1586808,1586808
011827,19095690,19095690
012061,19019333,19019333
012946,40236567,40236567
012958,1351115,1351115
012996,750982,46274201
013211,44818333,44818333
